reply_text,username,date,likes,replies
@BRICSinfo This is what 'peace through strength' looks like in 2026. US troops scrambling for cover while Iran precisely hits key bases and even takes out an E-3 Sentry AWACS. How many more American lives and billions in damage before they admit endless Middle East wars aren't 'winning'?,Surveyor_life,Tue Mar 31 23:59:17 +0000 2026,0,0
@BRICSinfo Well maga.. congrats. You voted for this https://t.co/LaA6hSa13U,nigel__2008,Wed Apr 01 01:01:57 +0000 2026,2,0
"@BRICSinfo 20 years from now, all the mfers will say, I have brain trauma, ima vet and my response will be, go fk yourself.",WejKiller,Wed Apr 01 06:59:38 +0000 2026,0,0
@BRICSinfo Wild stuff,JohnWiXRP,Tue Mar 31 23:24:12 +0000 2026,0,0
@BRICSinfo This is serious. They must end this war now,jomejos,Tue Mar 31 23:20:25 +0000 2026,0,0
@BRICSinfo That shit fast AF!!! Damn!,glennetix,Wed Apr 01 10:58:16 +0000 2026,0,0
@BRICSinfo 100 plus die in this attack but don't worry they never tell you the truth,khalidkhanzai,Wed Apr 01 00:55:09 +0000 2026,0,0
"@BRICSinfo us base in the middle east hit by iranian missile. praying everyone’s safe out there""",devana1125,Tue Mar 31 23:30:57 +0000 2026,1,0
@BRICSinfo “Missiles hitting bases is no longer shocking — it’s becoming routine in this war. The real question is: how much escalation before it spirals beyond control? 🌍🔥⚠️”,PervaizAhmed123,Wed Apr 01 05:29:55 +0000 2026,2,0
@BRICSinfo Gotta get them outta there. Can’t we send in some ai robots or something by now?,SNRanieri,Wed Apr 01 00:15:55 +0000 2026,0,1
@BRICSinfo Which country in the middle east? American troops should be weary of fighting people that has nothing to lose exactly.,ObongUsanga,Tue Mar 31 23:20:22 +0000 2026,0,0
@BRICSinfo Noooo missed target,stab3216,Wed Apr 01 00:05:25 +0000 2026,0,0
@BRICSinfo BRICS dropping their little one-page “peace plan” that conveniently forgets Israel and the U.S. exist… and I’m cracking up at how fast the multipolar fantasy is collapsing. You clowns spent years telling us the dollar is dead and now you need American pressure to make anything,odiimichael1,Wed Apr 01 00:21:56 +0000 2026,2,0
@BRICSinfo We never should have attacked Iran for israel.,TrueMaga_,Tue Mar 31 23:21:44 +0000 2026,40,1
@BRICSinfo I saw trump say they only had bb guns ?,Gervasoni2000,Tue Mar 31 23:39:45 +0000 2026,0,0
@BRICSinfo so much for ^the end of the war is near^ xD,gustavsson79899,Wed Apr 01 00:02:55 +0000 2026,0,0
@BRICSinfo So united of America with a human population of almost 350 millions cannot reasonable NIPA to be their president?. Donald Trump GYIMI GYIMI wai,meek_koo,Tue Mar 31 23:44:33 +0000 2026,0,0
